transaction_id,date,merchant,description,amount_brl
tx_0080,2026-02-22,Tok&Stok,TOK STOK,848.22
tx_0081,2026-08-05,Cobasi,COBASI,64.15
tx_0082,2026-08-01,Claro,CLARO MOVEL,46.17
tx_0083,2026-07-17,Tok&Stok,TOKSTOK,1048.41
tx_0084,2026-02-11,Cobasi,COBASI PET,234.12
tx_0085,2026-05-24,Claro,CLARO BRASIL,55.66
tx_0086,2026-05-20,Estapar,ESTAPAR,76.77
tx_0087,2026-04-21,Estapar,ESTAPAR,13.35
tx_0088,2026-07-23,Azul,AZUL LINHAS AEREAS,2277.63
tx_0089,2026-06-24,Cinemark,CINEMARK,88.36
tx_0090,2026-07-19,LATAM,TAM LINHAS AEREAS,2442.44
tx_0091,2026-03-02,Estapar,ESTAPAR,88.1
tx_0092,2026-04-16,Spotify,SPOTIFY,28.97
tx_0093,2026-07-20,Tok&Stok,TOK STOK,1299.4
tx_0094,2026-03-10,Drogasil,DROGASIL,239.4
tx_0095,2026-04-08,Uber,UBER *TRIP,96.14
tx_0096,2026-02-21,Smart Fit,SMART FIT ACADEMIA,114.97
tx_0097,2026-02-27,Smart Fit,SMARTFIT,146.0
tx_0098,2026-03-26,Booking.com,BOOKING BV,1935.49
tx_0099,2026-03-31,Petz,PET CENTER COMERCIO,281.42
tx_0100,2026-01-08,Tok&Stok,TOKSTOK,1413.1
tx_0101,2026-02-15,Cobasi,COBASI PET,44.16
tx_0102,2026-03-30,Claro,CLARO MOVEL,101.1
tx_0103,2026-04-09,99,99APP,36.96
tx_0104,2026-01-01,Claro,CLARO BRASIL,90.99
tx_0105,2026-06-20,Pão de Açúcar,PDA SUPERMERCADO,427.66
tx_0106,2026-07-04,99,99 *CORRIDA,61.7
tx_0107,2026-03-25,Localiza,LOCALIZA,663.82
tx_0108,2026-02-19,Shell,SHELL BOX,259.53
tx_0109,2026-06-23,Airbnb,AIRBNB,1450.25
tx_0110,2026-04-14,Mercado Livre,MERCADOLIVRE,230.12
tx_0111,2026-04-21,Cinemark,CINEMARK BRASIL,69.17
tx_0112,2026-06-22,Vivo,VIVO,111.56
tx_0113,2026-06-18,Netflix,NETFLIX.COM,34.19
tx_0114,2026-01-24,Tok&Stok,TOKSTOK,1102.65
tx_0115,2026-07-26,Smart Fit,SMARTFIT,94.74
tx_0116,2026-03-04,McDonald's,MC DONALDS APP,184.76
tx_0117,2026-04-27,Pão de Açúcar,PDA SUPERMERCADO,582.82
tx_0118,2026-07-03,YouTube Premium,YOUTUBE PREMIUM,44.72
tx_0119,2026-02-07,Drogasil,DROGASIL,269.41
tx_0120,2026-07-19,Uber,UBER DO BRASIL,33.45
tx_0121,2026-01-13,Cemig,CEMIG DISTRIBUICAO,419.46
tx_0122,2026-04-27,99,99APP,90.54
tx_0123,2026-07-13,IKEA,IKEA HOME,1011.23
tx_0124,2026-08-01,Claro,CLARO MOVEL,165.61
tx_0125,2026-04-26,Udemy,UDEMY ONLINE,461.0
tx_0126,2026-07-16,Petz,PET CENTER COMERCIO,261.9
tx_0127,2026-04-23,Petz,PETZ,294.01
tx_0128,2026-03-11,Drogasil,RAIA DROGASIL,106.12
tx_0129,2026-02-05,Carrefour,CARREFOUR,196.44
tx_0130,2026-06-30,Estapar,ESTAPAR,15.14
tx_0131,2026-03-26,Localiza,LOCALIZA,444.3
tx_0132,2026-08-02,Cinemark,CINEMARK BRASIL,62.0
tx_0133,2026-08-08,Rappi,RAPPI *RESTAURANTE,89.39
tx_0134,2026-03-18,LATAM,TAM LINHAS AEREAS,2177.59
tx_0135,2026-05-18,Localiza,LOCALIZA RENT A CAR,500.82
tx_0136,2026-04-22,Petz,PET CENTER COMERCIO,40.74
tx_0137,2026-06-21,Tok&Stok,TOK STOK,1180.76
tx_0138,2026-02-02,Cemig,CEMIG DISTRIBUICAO,415.56
tx_0139,2026-01-22,Rappi,RAPPI *RESTAURANTE,43.32
tx_0140,2026-02-16,Cemig,CEMIG DISTRIBUICAO,176.26
tx_0141,2026-02-24,IKEA,IKEA HOME,576.81
tx_0142,2026-03-13,Airbnb,AIRBNB *HM,741.93
tx_0143,2026-05-01,Carrefour,CARREFOUR,501.92
tx_0144,2026-03-31,Outback,OUTBACK STEAKHOUSE,194.29
tx_0145,2026-07-13,McDonald's,MCDONALDS,267.65
tx_0146,2026-08-03,YouTube Premium,GOOGLE *YOUTUBE,51.07
tx_0147,2026-02-02,Drogasil,RAIA DROGASIL,205.8
tx_0148,2026-04-30,Cinemark,CINEMARK BRASIL,97.86
tx_0149,2026-06-05,Netflix,NETFLIX.COM,58.89
tx_0150,2026-03-21,Netflix,NETFLIX.COM,48.93
tx_0151,2026-05-28,Mercado Livre,MERCADO PAGO *ML,292.74
tx_0152,2026-01-20,YouTube Premium,GOOGLE *YOUTUBE,25.1
tx_0153,2026-08-06,Mercado Livre,MERCADOLIVRE,562.45
tx_0154,2026-03-30,McDonald's,MC DONALDS APP,197.07
tx_0155,2026-05-10,Pão de Açúcar,PDA SUPERMERCADO,67.46
tx_0156,2026-07-30,Localiza,LOCALIZA,202.32
tx_0157,2026-06-12,Azul,AZUL WEB,1856.08
tx_0158,2026-02-15,Claro,CLARO MOVEL,126.23
tx_0159,2026-04-30,Udemy,UDEMY ONLINE,502.41
tx_0160,2026-03-24,Petz,PETZ,337.37
tx_0161,2026-03-13,Carrefour,CARREFOUR HIPER,203.88
tx_0162,2026-05-26,Cemig,CEMIG,204.47
tx_0163,2026-08-06,Alura,ALURA CURSOS,141.83
tx_0164,2026-04-01,Cinemark,CINEMARK BRASIL,57.33
tx_0165,2026-05-23,Petz,PETZ,221.15
tx_0166,2026-01-22,YouTube Premium,GOOGLE *YOUTUBE,56.0
tx_0167,2026-05-23,Alura,ALURA,426.74
tx_0168,2026-04-25,Alura,ALURA,92.11
tx_0169,2026-04-14,Smart Fit,SMARTFIT,110.62
tx_0170,2026-05-02,Azul,AZUL WEB,1236.11
tx_0171,2026-04-01,Tok&Stok,TOK STOK,491.79
tx_0172,2026-03-01,Cobasi,COBASI,296.88
tx_0173,2026-01-31,IKEA,IKEA,371.14
tx_0174,2026-03-12,Udemy,UDEMY ONLINE,589.09
tx_0175,2026-03-17,YouTube Premium,GOOGLE *YOUTUBE,38.04
tx_0176,2026-01-04,Mercado Livre,MERCADOLIVRE,210.16
tx_0177,2026-05-22,Outback,OUTBACK SHOPPING,205.87
tx_0178,2026-06-13,Shell,SHELL BOX,107.7
tx_0179,2026-05-27,iFood,IFOOD CLUB,88.37
tx_0180,2026-03-29,Vivo,VIVO,175.17
tx_0181,2026-08-09,Cobasi,COBASI PET,72.21
tx_0182,2026-04-13,Pão de Açúcar,PDA SUPERMERCADO,103.71
tx_0183,2026-02-08,Outback,OUTBACK STEAKHOUSE,233.73
tx_0184,2026-01-22,Mercado Livre,MERCADOLIVRE,104.95
tx_0185,2026-06-05,Localiza,LOCALIZA RENT A CAR,725.04
tx_0186,2026-04-26,Airbnb,AIRBNB *HM,829.84
tx_0187,2026-03-20,Claro,CLARO BRASIL,125.35
tx_0188,2026-07-15,Uber,UBER *TRIP,73.3
tx_0189,2026-06-19,Cobasi,COBASI,88.11
tx_0190,2026-05-22,Spotify,SPOTIFY,27.83
tx_0191,2026-04-26,Localiza,LOCALIZA,347.18
tx_0192,2026-03-15,Smart Fit,SMART FIT ACADEMIA,150.3
tx_0193,2026-01-19,Cemig,CEMIG DISTRIBUICAO,421.85
tx_0194,2026-04-19,YouTube Premium,GOOGLE *YOUTUBE,47.23
tx_0195,2026-03-10,Estapar,ESTAPAR,15.71
tx_0196,2026-07-22,Netflix,NETFLIX BRASIL,49.75
tx_0197,2026-04-23,Amazon,AMAZON BR,341.37
tx_0198,2026-06-29,Mercado Livre,MERCADO PAGO *ML,661.31
tx_0199,2026-04-23,Alura,ALURA,374.9
tx_0200,2026-07-08,Claro,CLARO MOVEL,124.52
tx_0201,2026-01-24,Rappi,RAPPI BRASIL,154.86
tx_0202,2026-07-15,Rappi,RAPPI *RESTAURANTE,102.79
tx_0203,2026-05-01,Spotify,SPOTIFY AB,65.8
tx_0204,2026-05-30,Spotify,SPOTIFY AB,51.74
tx_0205,2026-01-24,Alura,ALURA CURSOS,234.86
tx_0206,2026-03-24,Tok&Stok,TOKSTOK,1383.75
tx_0207,2026-04-16,Tok&Stok,TOK STOK,518.09
tx_0208,2026-07-28,Booking.com,BOOKING.COM,1136.91
tx_0209,2026-03-06,IKEA,IKEA HOME,256.2
tx_0210,2026-05-12,Booking.com,BOOKING.COM,1532.44
tx_0211,2026-04-16,Cemig,CEMIG DISTRIBUICAO,149.41
tx_0212,2026-06-09,Azul,AZUL WEB,1675.9
tx_0213,2026-02-22,Outback,OUTBACK SHOPPING,169.56
tx_0214,2026-04-23,Amazon,AMZN Mktp BR,106.96
tx_0215,2026-07-01,Drogasil,DROGASIL,103.56
tx_0216,2026-05-22,iFood,IFOOD CLUB,37.58
tx_0217,2026-04-29,99,99APP,75.48
tx_0218,2026-05-08,Estapar,ESTAPAR ESTACIONAMENTO,50.71
tx_0219,2026-04-17,Petz,PET CENTER COMERCIO,392.69
tx_0220,2026-04-27,Drogasil,DROGASIL,124.32
tx_0221,2026-01-18,Shell,SHELL BOX,288.62
tx_0222,2026-03-29,Localiza,LOCALIZA,760.03
tx_0223,2026-07-05,Amazon,AMZN Mktp BR,590.3
tx_0224,2026-02-08,Alura,ALURA CURSOS,341.61
tx_0225,2026-03-27,LATAM,TAM LINHAS AEREAS,1301.76
tx_0226,2026-02-18,IKEA,IKEA,949.13
tx_0227,2026-08-08,Smart Fit,SMART FIT ACADEMIA,84.36
tx_0228,2026-06-30,Udemy,UDEMY ONLINE,256.2
tx_0229,2026-05-07,Estapar,ESTAPAR,20.1
tx_0230,2026-01-26,Tok&Stok,TOK STOK,231.56
tx_0231,2026-01-04,Cemig,CEMIG DISTRIBUICAO,231.69
tx_0232,2026-01-20,Estapar,ESTAPAR ESTACIONAMENTO,72.52
tx_0233,2026-03-28,Cobasi,COBASI PET,270.44
tx_0234,2026-08-07,Tok&Stok,TOK STOK,1530.29
tx_0235,2026-05-19,Alura,ALURA,385.78
tx_0236,2026-06-11,Drogasil,RAIA DROGASIL,299.27
tx_0237,2026-04-22,Carrefour,CARREFOUR,508.62
tx_0238,2026-04-24,Uber,UBER *TRIP,80.01
tx_0239,2026-01-12,Rappi,RAPPI *RESTAURANTE,132.48
tx_0240,2026-04-02,Amazon,AMZN Mktp BR,315.71
tx_0241,2026-07-10,Uber,UBER *TRIP,48.7
tx_0242,2026-07-10,Shell,SHELL BOX,210.0
tx_0243,2026-07-11,Airbnb,AIRBNB *HM,1180.0
tx_0244,2026-07-12,iFood,IFOOD *RESTAURANTE,96.4
tx_0245,2026-06-03,Amazon,AMZN Mktp BR,154.99
tx_0246,2026-06-04,Mercado Livre,MERCADO PAGO *ML,89.9
tx_0247,2026-05-02,Google,GOOGLE *SERVICES,34.9
tx_0248,2026-05-08,Apple,APPLE.COM/BILL,49.9
tx_0249,2026-04-01,IFOOD BENEFICIOS,IFOOD BENEFICIOS,300.0
tx_0250,2026-03-20,Uber Eats,UBER EATS,72.3
